ProductPricingID,ItemID,ItemNumber,PriceStore,PriceCustomerLevel,PriceVariant,PriceVariantInventory,PriceStartDate,PriceEndDate,PriceQuantity,Cost,Price,PriceVariantSurcharge,PriceCalculation,DeletePricing
9284,253,PT-654,,,,,,,1000,0,0.23,,,
9285,253,PT-654,,,,,,,2500,0,0.225,,,
9286,253,PT-654,,,,,,,5000,0,0.22,,,
9287,253,PT-654,,,,,,,10000,0,0.215,,,
9288,254,PT-1459,,,,,,,100,0,0.25,,,
9289,254,PT-1459,,,,,,,300,0,0.245,,,
9290,254,PT-1459,,,,,,,500,0,0.24,,,
9291,254,PT-1459,,,,,,,1000,0,0.235,,,
9292,254,PT-1459,,,,,,,2500,0,0.23,,,
9293,254,PT-1459,,,,,,,5000,0,0.225,,,
9294,254,PT-1459,,,,,,,10000,0,0.22,,,
9295,255,PT-2728,,,,,,,100,0,0.225,,,
9296,255,PT-2728,,,,,,,300,0,0.22,,,
9297,255,PT-2728,,,,,,,500,0,0.215,,,
9298,255,PT-2728,,,,,,,1000,0,0.21,,,
9299,255,PT-2728,,,,,,,2500,0,0.195,,,
9300,255,PT-2728,,,,,,,5000,0,0.2,,,
9301,255,PT-2728,,,,,,,10000,0,0.195,,,
9302,256,PT-682,,,,,,,100,0,0.23,,,
9303,256,PT-682,,,,,,,300,0,0.225,,,
9304,256,PT-682,,,,,,,500,0,0.22,,,
9305,256,PT-682,,,,,,,1000,0,0.215,,,
9306,256,PT-682,,,,,,,2500,0,0.21,,,
9307,256,PT-682,,,,,,,5000,0,0.205,,,
9308,256,PT-682,,,,,,,10000,0,0.2,,,
9309,257,PT-656,,,,,,,100,0,0.235,,,
9310,257,PT-656,,,,,,,300,0,0.23,,,
9311,257,PT-656,,,,,,,500,0,0.225,,,
9312,257,PT-656,,,,,,,1000,0,0.22,,,
9313,257,PT-656,,,,,,,2500,0,0.215,,,
9314,257,PT-656,,,,,,,5000,0,0.21,,,
9315,257,PT-656,,,,,,,10000,0,0.205,,,
9316,258,PT-2385,,,,,,,100,0,0.23,,,
9317,258,PT-2385,,,,,,,300,0,0.225,,,
9318,258,PT-2385,,,,,,,500,0,0.22,,,
9319,258,PT-2385,,,,,,,1000,0,0.215,,,
9320,258,PT-2385,,,,,,,2500,0,0.21,,,
9321,258,PT-2385,,,,,,,5000,0,0.205,,,
9322,258,PT-2385,,,,,,,10000,0,0.2,,,
9323,259,PT-1733,,,,,,,100,0,0.23,,,
9324,259,PT-1733,,,,,,,300,0,0.225,,,
9325,259,PT-1733,,,,,,,500,0,0.22,,,
9326,259,PT-1733,,,,,,,1000,0,0.215,,,
9327,259,PT-1733,,,,,,,2500,0,0.21,,,
9328,259,PT-1733,,,,,,,5000,0,0.205,,,
9329,259,PT-1733,,,,,,,10000,0,0.2,,,
9330,260,PT-1323,,,,,,,100,0,0.23,,,
9331,260,PT-1323,,,,,,,300,0,0.225,,,
9332,260,PT-1323,,,,,,,500,0,0.22,,,
9333,260,PT-1323,,,,,,,1000,0,0.215,,,
9334,260,PT-1323,,,,,,,2500,0,0.21,,,
9335,260,PT-1323,,,,,,,5000,0,0.205,,,
9336,260,PT-1323,,,,,,,10000,0,0.2,,,
9337,261,PT-1946,,,,,,,100,0,0.23,,,
9338,261,PT-1946,,,,,,,300,0,0.225,,,
9339,261,PT-1946,,,,,,,500,0,0.22,,,
9340,261,PT-1946,,,,,,,1000,0,0.215,,,
9341,261,PT-1946,,,,,,,2500,0,0.21,,,
9342,261,PT-1946,,,,,,,5000,0,0.205,,,
9343,261,PT-1946,,,,,,,10000,0,0.2,,,
9344,262,PT-2356,,,,,,,100,0,0.235,,,
9345,262,PT-2356,,,,,,,300,0,0.23,,,
9346,262,PT-2356,,,,,,,500,0,0.225,,,
9347,262,PT-2356,,,,,,,1000,0,0.22,,,
9348,262,PT-2356,,,,,,,2500,0,0.215,,,
9349,262,PT-2356,,,,,,,5000,0,0.21,,,
9350,262,PT-2356,,,,,,,10000,0,0.205,,,
9351,263,PT-1210,,,,,,,100,0,0.23,,,
9352,263,PT-1210,,,,,,,300,0,0.225,,,
9353,263,PT-1210,,,,,,,500,0,0.22,,,
9354,263,PT-1210,,,,,,,1000,0,0.215,,,
9355,263,PT-1210,,,,,,,2500,0,0.21,,,
9356,263,PT-1210,,,,,,,5000,0,0.205,,,
9357,263,PT-1210,,,,,,,10000,0,0.2,,,
9358,264,PT-2315,,,,,,,100,0,0.225,,,
9359,264,PT-2315,,,,,,,300,0,0.22,,,
9360,264,PT-2315,,,,,,,500,0,0.215,,,
9361,264,PT-2315,,,,,,,1000,0,0.21,,,
9362,264,PT-2315,,,,,,,2500,0,0.205,,,
9363,264,PT-2315,,,,,,,5000,0,0.2,,,
9364,264,PT-2315,,,,,,,10000,0,0.195,,,
9365,265,PT-2692,,,,,,,100,0,0.23,,,
9366,265,PT-2692,,,,,,,300,0,0.225,,,
9367,265,PT-2692,,,,,,,500,0,0.22,,,
9368,265,PT-2692,,,,,,,1000,0,0.215,,,
9369,265,PT-2692,,,,,,,2500,0,0.21,,,
9370,265,PT-2692,,,,,,,5000,0,0.205,,,
9371,265,PT-2692,,,,,,,10000,0,0.2,,,
9372,266,PT-2666,,,,,,,100,0,0.255,,,
9373,266,PT-2666,,,,,,,300,0,0.25,,,
9374,266,PT-2666,,,,,,,500,0,0.245,,,
9375,266,PT-2666,,,,,,,1000,0,0.24,,,
9376,266,PT-2666,,,,,,,2500,0,0.235,,,
9377,266,PT-2666,,,,,,,5000,0,0.23,,,
9378,266,PT-2666,,,,,,,10000,0,0.225,,,
9379,267,PT-2598,,,,,,,100,0,0.235,,,
9380,267,PT-2598,,,,,,,300,0,0.23,,,
9381,267,PT-2598,,,,,,,500,0,0.225,,,
9382,267,PT-2598,,,,,,,1000,0,0.22,,,
9383,267,PT-2598,,,,,,,2500,0,0.215,,,
9384,267,PT-2598,,,,,,,5000,0,0.21,,,
9385,267,PT-2598,,,,,,,10000,0,0.205,,,
9386,268,PT-2376,,,,,,,100,0,0.24,,,
9387,268,PT-2376,,,,,,,300,0,0.235,,,
9388,268,PT-2376,,,,,,,500,0,0.23,,,
9389,268,PT-2376,,,,,,,1000,0,0.225,,,
9390,268,PT-2376,,,,,,,2500,0,0.22,,,
9391,268,PT-2376,,,,,,,5000,0,0.215,,,
9392,268,PT-2376,,,,,,,10000,0,0.21,,,
9393,269,PT-1907,,,,,,,100,0,0.24,,,
9394,269,PT-1907,,,,,,,300,0,0.235,,,
9395,269,PT-1907,,,,,,,500,0,0.23,,,
9396,269,PT-1907,,,,,,,1000,0,0.225,,,
9397,269,PT-1907,,,,,,,2500,0,0.22,,,
9398,269,PT-1907,,,,,,,5000,0,0.215,,,
9399,269,PT-1907,,,,,,,10000,0,0.21,,,
9400,270,PT-1751,,,,,,,100,0,0.23,,,
9401,270,PT-1751,,,,,,,300,0,0.225,,,
9402,270,PT-1751,,,,,,,500,0,0.22,,,
9403,270,PT-1751,,,,,,,1000,0,0.215,,,
9404,270,PT-1751,,,,,,,2500,0,0.21,,,
9405,270,PT-1751,,,,,,,5000,0,0.205,,,
9406,270,PT-1751,,,,,,,10000,0,0.2,,,
9407,271,PT-1896,,,,,,,100,0,0.24,,,
9408,271,PT-1896,,,,,,,300,0,0.235,,,
9409,271,PT-1896,,,,,,,500,0,0.23,,,
9410,271,PT-1896,,,,,,,1000,0,0.225,,,
9411,271,PT-1896,,,,,,,2500,0,0.22,,,
9412,271,PT-1896,,,,,,,5000,0,0.215,,,
9413,271,PT-1896,,,,,,,10000,0,0.21,,,
9414,272,PT-2609,,,,,,,100,0,0.24,,,
9415,272,PT-2609,,,,,,,300,0,0.235,,,
9416,272,PT-2609,,,,,,,500,0,0.23,,,
