link	title	description	image_link	additional_image_link	product_type	price	id	condition	expiration_date	shipping_weight	brand	mpn	gtin	availability	google_product_category	gender	age_group	color	size	material	pattern	item_group_id	adwords_grouping	adwords_labels	excluded_destination
http://www.havacupathome.com/store/p/77-Tea-Variety-Sampler.aspx?feed=Froogle	Tea Variety Sampler 	Now you can try a variety of Celestial Seasonings Teas for your Keurig Brewer! 22 Qty Celestial Seasonings Green Tea Smooth, Sencha-style green tea. (6 K-Cups) Celestial Seasonings English Breakfast Black Tea A blend of black teas from Assam and Kenya. (6 K-Cups) Celestial Seasonings Lemon Zinger Herbal Tea Invigerating as hot tea, refreshing as iced tea. (6 K-Cups) Celestial Seasonings Sleepytime Herbal Tea Egyptian chamomile and Pacific Northwest (USA) spearmint round out this soothing blend. (4 K-Cups)	http://www.havacupathome.com/resize/images/K-cups/K-Cup-Tea-Sampler-Lg.jpg?lr=t&bw=500&bh=500		K-Cups  > Variety Boxes	15.5000	77	new	2014-09-12	0.9500 lb	Celestial Seasonings			in stock											
http://www.havacupathome.com/store/p/82-Unsweetened-Black-Iced-Tea.aspx?feed=Froogle	Unsweetened Black Iced Tea	A classic full-bodied tea. 24 Qty Our Unsweetened Black Tea is as simple as it gets  the classic full-bodied iced tea, nothing more and nothing less.   	http://www.havacupathome.com/resize/images/K-cups/unsweetened-black-sm.jpg?lr=t&bw=500&bh=500		K-Cups  > Iced Tea 	17.0000	82	new	2014-09-12	0.9500 lb	Celestial Seasonings			in stock											
http://www.havacupathome.com/store/p/86-Fair-Trade-Pumpkin-Spice.aspx?feed=Froogle	Fair Trade Pumpkin Spice 	A delicious coffee enhanced by the creamy pumpkin spice flavors of autumn. 24 Qty A delicious coffee enhanced by the creamy pumpkin spice flavors of autumn. Get it while you can!	http://www.havacupathome.com/resize/images/K-cups/pumpkin-spice-sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	86	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/91-Donut-House-Coffee.aspx?feed=Froogle	Donut House Coffee 	Donut House Coffee feels familiar from the very first sip. Its the easy-going, bold, dependable cup you can enjoy every day. 24 Qty Donut House Coffee feels familiar from the very first sip. Its the easy-going, bold, dependable cup you can enjoy every day.	http://www.havacupathome.com/resize/images/K-cups/donut-house-sm.jpg?lr=t&bw=500&bh=500		K-Cups  > Donut House Coffee	15.5000	91	new	2014-09-12	0.9500 lb	Coffee			in stock											
http://www.havacupathome.com/store/p/92-Chocolate-Glazed-Donut.aspx?feed=Froogle	Chocolate Glazed Donut	All coffee, no crumbs. 24 Qty Chocolate Glazed Donut is a combo thats hard to resist. A fresh chocolate donut, topped with a sweet, sugar glaze, dunked into your mug. All coffee, no crumbs.	http://www.havacupathome.com/resize/images/K-cups/donut-house-chocolate-sm.jpg?lr=t&bw=500&bh=500		K-Cups  > Donut House Coffee	15.5000	92	new	2014-09-12	0.9500 lb	Coffee			in stock											
http://www.havacupathome.com/store/p/104-Regular-Variety-Box.aspx?feed=Froogle	Regular Variety Box 	An assortment of Signature favorites 22 Qty (Beyond Best By Date) Colombian Fair Trade Select Classically balanced, vibrant, and complex with a splash of ripe fruit. (6 K-Cups) Vermont Country Blend Smooth and rich. A blend of light and dark roasts. (6 K-Cups) Dark Magic Extra Bold Sweet, toasty, rich. A dark roast. (6 K-Cups) French Roast Our darkest roastsmoky and sweet. (4 K-Cups)(This product is beyond its best by date. However each K-cup is a sealed container until it is pierced by the brewer.   This ensures great taste for an extended period of time.  A great value at 1/2 price when you buy 2 or more!)   	http://www.havacupathome.com/resize/images/K-cups/K-Cup-Regular-Sampler-Lg.jpg?lr=t&bw=500&bh=500		Clearance - Beyond Best By Date	7.5000	104	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/115-Flavored-Variety-Sampler.aspx?feed=Froogle	Flavored Variety Sampler 	A collection of rich flavors to match the different moods and moments of your day. 22 Qty (Beyond Best By date) French Vanilla, Rain Forest Nut, Hazelnut this variety is different than the newer flavored variety box.  (This product is beyond its best by date. However each K-cup is a sealed container until it is pierced by the brewer. This ensures great taste for an extended period of time. A great value at 1/2 price when you buy 2 or more!) 	http://www.havacupathome.com/resize/images/K-cups/Flavored-Sampler-Sm.jpg?lr=t&bw=500&bh=500		Clearance - Beyond Best By Date	7.5000	115	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/128-Wild-Mountain-Blueberry-Fair-Trade.aspx?feed=Froogle	Wild Mountain Blueberry Fair Trade	The sweet flavor of juicy sun-kissed blueberries, baked to perfection in a buttery crust. It's Fair Trade, too! 24 Qty The sweet flavor of juicy sun-kissed blueberries, baked to perfection in a buttery crust. It's Fair Trade, too! Conveniently delivered  fresh from the roaster	http://www.havacupathome.com/resize/images/K-cups/Wild-Mountain-Blueberry Fair Trade-Sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	128	new	2014-09-12	0.9500 lb	Green Mountain Coffee 			in stock											
http://www.havacupathome.com/store/p/130-revv.aspx?feed=Froogle	revv 	NEW!! revv coffee packs a strong yet smooth kick to get your day going!  22 Qty  A straight shot of stimulation. Raw energy in its purest form. revv packs more rich, smooth coffee into every K-Cup, so you can super-charge your day, without extra sugar or calories. Take a bold move forward. Launch into life with revv. More Coffee. More Kick.	http://www.havacupathome.com/resize/images/K-cups/revv-sm.jpg?lr=t&bw=500&bh=500		Premium Coffee	15.5000	130	new	2014-09-12	0.9500 lb	revv coffee			in stock											
http://www.havacupathome.com/store/p/134-Southern-Sweet-Tea.aspx?feed=Froogle	Southern Sweet Tea	A Southern tradition perfected! 22 Qty Robust and smooth, this sweet treat features bold, black tea and a generous helping of natual cane sugar for a distictively Southern aproach to tea. 	http://www.havacupathome.com/resize/images/K-cups/Southern-Sweet-Black-Iced-Tea-sm.jpg?lr=t&bw=500&bh=500		K-Cups  > Iced Tea 	17.0000	134	new	2014-09-12	0.9500 lb	Celestial Seasonings			in stock											
http://www.havacupathome.com/store/p/135-Half-Half-Lemonade-Tea.aspx?feed=Froogle	Half & Half Lemonade/Tea	Equal parts refreshing and invigorating 22 Qty This new K-Cup from Celestial Seasonings combines smooth black tea with sweet and tangy, all-natural lemonade. Made with True-Lemon for a vibrant citrus flavor. 	http://www.havacupathome.com/resize/images/K-cups/Half-and-Half-Perfect-Iced-Tea-sm.jpg?lr=t&bw=500&bh=500		K-Cups  > Iced Tea 	17.0000	135	new	2014-09-12	0.9500 lb	Celestial Seasonings			in stock											
